1,2,3,8,10,27
2,13,18,26,28,33
3,14,15,19,34,35
4,17,23,24,26,33
5,6,13,16,18,33
6,16,21,22,31,35
7,4,7,9,10,32
8,11,17,18,21,25
9,3,8,15,16,24
10,3,5,16,30,33
11,8,13,14,20,30
12,5,15,17,21,23
13,7,16,17,24,26
14,5,13,14,17,22
15,1,22,26,33,35
16,1,24,26,29,35
17,7,15,19,24,29
18,1,11,15,27,32
19,6,16,30,32,33
20,1,2,12,17,27
21,2,10,14,20,22
22,2,9,15,16,32
23,4,5,19,22,33
24,10,28,29,30,35
25,5,14,26,28,32
26,2,7,8,25,32
27,8,20,22,31,32
28,13,18,20,21,29
29,9,20,25,26,35
30,4,6,9,14,15
31,2,9,13,33,34
32,8,21,22,28,35
33,7,14,24,26,31
34,3,21,28,30,31
35,3,7,16,20,21
36,4,5,9,20,29
37,6,10,14,18,30
38,8,11,14,24,29
39,9,14,22,25,32
40,5,7,15,22,26
41,3,23,25,30,35
42,11,12,17,24,28
43,14,24,25,27,29
44,15,19,22,26,28
45,6,8,23,29,32
46,1,19,22,27,33
47,15,20,27,33,35
48,6,14,15,17,34
49,3,7,9,32,33
50,3,22,24,30,35
51,8,9,15,18,29
52,14,17,21,26,33
53,7,13,17,29,30
54,7,16,24,26,29
55,5,7,9,24,33
56,4,9,20,30,35
57,15,16,21,33,34
58,25,28,31,33,34
59,1,7,11,23,31
60,11,13,31,32,33
61,1,16,18,22,31
62,7,14,16,19,21
63,8,23,24,25,30
64,6,16,25,26,31
65,6,7,8,27,35
66,5,13,16,24,28
67,4,10,11,12,17
68,2,8,20,21,32
69,6,10,18,20,34
70,7,13,22,23,24
71,1,4,6,16,25
72,10,15,27,32,33
73,9,10,22,26,32
74,1,2,13,21,23
75,4,5,9,32,34
76,3,10,11,29,31
77,6,14,22,23,31
78,13,14,16,17,31
79,5,7,10,15,17
80,2,5,14,17,23
81,3,14,20,29,32
82,8,11,20,22,26
83,2,6,10,15,25
84,7,10,17,23,28
85,2,6,8,17,33
86,10,18,20,31,33
87,1,2,8,19,27
88,2,8,16,21,24
89,1,3,10,11,27
90,1,5,23,26,33
91,2,3,17,19,22
92,1,5,6,31,33
93,4,17,23,27,30
94,3,9,12,15,17
95,1,4,12,13,34
96,1,4,6,25,32
97,6,21,22,29,30
98,3,10,18,23,32
99,21,22,25,31,34
100,15,22,26,32,35
101,12,15,22,26,34
102,2,8,9,15,23
103,1,6,22,29,35
